OBJECTID,Direction,RouteNum,RouteName,Miles,Orientation,BaseFreq1,PeakFreq1,NightFreq1,BaseFreq6,NightFreq6,BaseFreq7,NightFreq7,Span1,Span6,Span7,RunPick,OperationDays,Description,LocalService,Shape__Length
63,Northbound,41,Schaefer,13.8073011484985,North - South,60,60,0,60,0,60,0,7:00a - 9:15p,7:00a - 9:15p,6:40a - 9:15p,April 2022,Monday - Sunday,"A west side route that connects Detroit from 8 Mile & Schaefer to Brennan & Jefferson (Del Ray). The main street used is Schaefer Hwy. In addition to Detroit, this route serves Dearborn and River Rouge.",1,0.209529497307499
64,Loop,42,Mid-City Loop,12.6830893237924,Loop,60,60,0,60,0,60,0,7:15a - 7:00p,7:15a - 7:00p,8:15a - 6:00p,April 2022,Monday - Sunday,"A one-directional, clock-wise route that connects neighborhoods to more resource rich areas. This route begins and end in Highland Park. The main streets served are Oakland, Rosa Parks, St Antoine and Second.",1,0.207560509691962
65,Eastbound,43,Schoolcraft,11.7329247869946,North - South,60,60,0,45,0,60,0,4:40a - 8:40p,7:00a - 7:10p,10:00a - 7:00p,April 2022,Monday - Sunday,"Connects Redford, Detroit & Highland Park. Weekday peak hour trips extend to 8 Mile & Ryan. The main streets served are Schoolcraft, Ewald Circle, Oakman, Oakland, Manchester, Dequindre, E Outer Dr, & Ryan.",1,0.215020205590947
66,Westbound,43,Schoolcraft,11.43985078945,North - South,60,60,0,45,0,60,0,4:40a - 8:40p,7:00a - 7:10p,10:00a - 7:00p,April 2022,Monday - Sunday,"Connects Redford, Detroit & Highland Park. Weekday peak hour trips extend to 8 Mile & Ryan. The main streets served are Schoolcraft, Ewald Circle, Oakman, Oakland, Manchester, Dequindre, E Outer Dr, & Ryan.",1,0.210637922581076
67,Southbound,46,Southfield,12.4980594339621,North - South,0,60,0,0,0,0,0,5:45 - 8:20p,No Service,No Service,April 2022,Monday - Friday,"A west side peak hour route that connects Detroit from 9 Mile & Rutland to Fairlane Mall. The main streets served are Southfield and Paul St. In addition to Detroit, this route also serves Dearborn and Southfield.",1,0.193008952242427
68,Northbound,46,Southfield,12.4636445422791,North - South,0,60,0,0,0,0,0,5:45 - 8:20p,No Service,No Service,April 2022,Monday - Friday,"A west side peak hour route that connects Detroit from 9 Mile & Rutland to Fairlane Mall. The main streets served are Southfield and Paul St. In addition to Detroit, this route also serves Dearborn and Southfield.",1,0.19410740097728
69,Northbound,52,Chene,12.6755255436991,North - South,60,60,60,60,60,60,0,6:00a - 9:45p,6:00a - 9:45p,8:00a - 7:50p,April 2022,Monday - Sunday,"An east side route that connects Detroit from Nevada & Van Dyke to Downtown Rosa Parks Transit Center. The main streets served are Nevada, Joseph Campau and Chene.",1,0.212454587033535
70,Southbound,52,Chene,12.6994456387476,North - South,60,60,60,60,60,60,0,6:00a - 9:45p,6:00a - 9:45p,8:00a - 7:50p,April 2022,Monday - Sunday,"An east side route that connects Detroit from Nevada & Van Dyke to Downtown Rosa Parks Transit Center. The main streets served are Nevada, Joseph Campau and Chene.",1,0.212634611350991
71,Northbound,54,Wyoming,2.49347470688358,North - South,60,60,0,60,0,60,0,7:00a - 9:00p,7:00a - 9:00p,8:00a - 7:50p,April 2022,Monday - Sunday,A westside route that connects Detroit from 8 Mile & Wyoming to S West End St & Jefferson (Del Ray). The main streets served are Wyoming and Dearborn St.,1,0.0466381623502096
72,Southbound,54,Wyoming,2.43556780886085,North - South,60,60,0,60,0,60,0,7:00a - 9:00p,7:00a - 9:00p,8:00a - 7:50p,April 2022,Monday - Sunday,A westside route that connects Detroit from 8 Mile & Wyoming to S West End St & Jefferson (Del Ray). The main streets served are Wyoming and Dearborn St.,1,0.0457928386539999
73,Southbound,54,Wyoming,13.10009634242,North - South,60,60,0,60,0,60,0,7:00a - 9:00p,7:00a - 9:00p,8:00a - 7:50p,April 2022,Monday - Sunday,A westside route that connects Detroit from 8 Mile & Wyoming to S West End St & Jefferson (Del Ray). The main streets served are Wyoming and Dearborn St.,1,0.201271327502226
74,Northbound,54,Wyoming,13.0620527862494,North - South,60,60,0,60,0,60,0,7:00a - 9:00p,7:00a - 9:00p,8:00a - 7:50p,April 2022,Monday - Sunday,A westside route that connects Detroit from 8 Mile & Wyoming to S West End St & Jefferson (Del Ray). The main streets served are Wyoming and Dearborn St.,1,0.20093774093588
75,Southbound,60,Evergreen,11.6943098995604,North - South,30,30,60,30,60,60,60,6:00a - 11:15p,6:00a - 11:10p,7:15a - 10:00p,April 2022,Monday - Sunday,"A west side route that connects Detroit on 10 Mile & Evergreen to Fairlane Mall. The main street served is Evergreen. In addition to Detroit, this route also serves Dearborn and Southfield.",1,0.173504492816803
76,Northbound,60,Evergreen,11.7519457467806,North - South,30,30,60,30,60,60,60,6:00a - 11:15p,6:00a - 11:10p,7:15a - 10:00p,April 2022,Monday - Sunday,"A west side route that connects Detroit on 10 Mile & Evergreen to Fairlane Mall. The main street served is Evergreen. In addition to Detroit, this route also serves Dearborn and Southfield.",1,0.174985349917736
77,Eastbound,67,Cadillac-Harper,12.8437576982306,East - West,60,60,60,60,60,60,0,7:00a - 11:15p,7:00a - 11:50p,7:00a - 8:50p,April 2022,Monday - Sunday,An east side route that connects Detroit from Mack & Moross to Downtown Rosa Parks Transit Center. The main streets served are Harper Ave. E Larned St. Cadillac Blvd.,1,0.228271309437118
78,Westbound,67,Cadillac-Harper,12.8688289949288,East - West,60,60,60,60,60,60,0,7:00a - 11:15p,7:00a - 11:50p,7:00a - 8:50p,April 2022,Monday - Sunday,An east side route that connects Detroit from Mack & Moross to Downtown Rosa Parks Transit Center. The main streets served are Harper Ave. E Larned St. Cadillac Blvd.,1,0.228884033709046
79,Southbound,68,Chalmers,9.31557234995573,North - South,60,60,0,60,0,60,0,6:00a - 8:45p,6:00a - 8:40p,7:00a - 6:40p,April 2022,Monday - Sunday,An east side route that connects Detroit from Jefferson & Maryland to 7 Mile & Gratiot. The main streets served are Chalmers and Schoenherr St.,1,0.149394019210767
80,Northbound,68,Chalmers,9.32889427854409,North - South,60,60,0,60,0,60,0,6:00a - 8:45p,6:00a - 8:40p,7:00a - 6:40p,April 2022,Monday - Sunday,An east side route that connects Detroit from Jefferson & Maryland to 7 Mile & Gratiot. The main streets served are Chalmers and Schoenherr St.,1,0.149600832753939
